id,poi_id,"poi_name","poi_url","poi_location","poi_comment","poi_time","poi_image","poi_type","poi_summary","key_word",poi_longitude,poi_latitude
1,3474,"故宫","http://www.mafengwo.cn/poi/3474.html?fromMdd=10065","北京市东城区景山前街4号","推荐理由中国乃至世界上保存最完整，规模最大的木质结构古建筑群，也是藏品超过百万件的世界级博物馆","3小时以上","https://b3-q.mafengwo.net/s9/M00/2F/9E/wKgBs1cWRpCACWlSAAdObOdTPvo56.jpeg?imageMogr2%2Fthumbnail%2F%21226x226r%2Fgravity%2FCente","美术馆/博物馆/展览馆 遗址遗迹 宫殿城堡 ","又名紫禁城，是中国乃至世界上保存最完整，规模最大的木质结构古建筑群，被誉为“世界五大宫之首”。
由永乐帝朱棣下令建造，依据其布局与功用分为“外朝”与“内廷”两大部分。以乾清门为界，乾清门以南为外朝，以北为内廷。
外朝也称为“前朝”，以太和殿(金銮殿)、中和殿、保和殿三大殿为中心，是封建皇帝行使权力、举行盛典的地方。
内廷以乾清宫、交泰殿、坤宁宫后三宫为中心，以及东西两侧的东六宫和西六宫，是封建帝王与后妃居住之所，也就是俗称的“三宫六院”。
故宫内珍藏有大量珍贵文物，据统计有上百万件，占全国文物总数的六分之一。钟表馆每天11点和14点有钟表演示，不可错过。
故宫需要从南到北参观，午门是唯一的入口，出口是东华门和神武门。",NULL,116.399,39.9212
2,3557,"颐和园","http://www.mafengwo.cn/poi/3557.html?fromMdd=10065","北京市海淀区新建宫门路19号","推荐理由保存得最完整的皇家行宫御苑，被誉为“皇家园林博物馆” 。","3小时以上","https://n3-q.mafengwo.net/s10/M00/3C/70/wKgBZ1n6zfyAPL4XAAmDan04ZLI50.jpeg?imageMogr2%2Fthumbnail%2F%21226x226r%2Fgravity%2FCent","公园/国家公园 遗址遗迹 宫殿城堡 江河湖海 ","颐和园坐落于北京西郊，是中国古典园林之首，1998年12月2日被列入《世界遗产名录》。 
由万寿山和昆明湖组成，全园以西山群峰为背景，建筑群与山湖形势融为一体，景色变幻无穷。
全园分3个区域：以仁寿殿为中心的政治活动区；以玉澜堂、乐寿堂为主体的帝后生活区；以万寿山和昆明湖组成的风景旅游区。",NULL,116.28,39.9963
3,3519,"八达岭长城","http://www.mafengwo.cn/poi/3519.html?fromMdd=10065","北京市延庆区军都山关沟古道北口","推荐理由史称天下九塞之一，是万里长城的精华，在明长城中，独具代表性","3小时以上","https://b4-q.mafengwo.net/s11/M00/36/39/wKgBEFrhb3WAakoZAAf3cRjwZCY02.jpeg?imageMogr2%2Fthumbnail%2F%21226x226r%2Fgravity%2FCent","遗址遗迹 ","八达岭长城被称为“天下九塞”之一，是明长城景色中的精华，海拔高达1015米，也是居庸关的前哨。
共分为南长城和北长城两部分，南长城有7处敌楼，游客相对较少，北长城有12处敌楼，比较难爬。
其中北8楼是八达岭长城海拔最高的敌楼，又名“观日台”，是俯瞰长城的绝佳地点。
这里是游览北京的必到之处，尼克松、撒切尔夫人等三百多位世界知名人士曾登上长城。",NULL,115.975,40.457
4,3498,"天安门广场","http://www.mafengwo.cn/poi/3498.html?fromMdd=10065","北京市东城区长安街","推荐理由北京旅游的代表性景点之一，可以在这观看升降旗，广场上还有人民英雄纪念碑、毛主席纪念堂","3小时以上","https://b2-q.mafengwo.net/s11/M00/1C/51/wKgBEFtdk3qABF_ZABDp32qJjb877.jpeg?imageMogr2%2Fthumbnail%2F%21226x226r%2Fgravity%2FCent","遗址遗迹 喷泉/广场 ","世界上最大的广场——天安门广场，位于长安街南侧，北京城的传统中轴线上。广场中心为人民英雄纪念碑，向南穿过毛主席纪念堂就到了正阳门，也就是前门。西侧是人民大会堂，东侧是国家博物馆，广场的对面，长安街的北侧即是天安门城楼，城楼下是波光粼粼的金水河。每天的清晨和傍晚，天安门广场都会举行隆重严肃的升降旗仪式，对于初到北京的人来说，观看一场升降旗仪式是必不可少的一件事。",NULL,116.395,39.9076
5,3503,"天坛","http://www.mafengwo.cn/poi/3503.html?fromMdd=10065","北京市东城区天坛路甲1号","推荐理由明清两代皇帝祭祀天地之神和祈祷五谷丰收的地方","3小时以上","https://b4-q.mafengwo.net/s5/M00/B2/F0/wKgB3FDjqrmAZW91AAtxfFvcYKg52.jpeg?imageMogr2%2Fthumbnail%2F%21226x226r%2Fgravity%2FCente","公园/国家公园 遗址遗迹 ","天坛是明、清两朝皇帝祭天、求雨和祈祷丰年的专用祭坛，坛域北呈圆形，南为方形，寓意“天圆地方”。
共分为内坛、外坛两部分，内坛北部为“祈谷坛”，是皇帝在春季举行祈谷大典的场所，主要有祈年殿、皇乾殿等。
南部为“圜丘坛”，是皇帝冬至日祭天的地方，主要有圜丘坛、皇穹宇及配殿、神厨及宰牲亭等。
游玩天坛，除了观赏各殿堂的精巧建筑，回音壁、三音石等奇巧的设计也一样令人慨叹古人的智慧。
游览一般都是南门进北门（或东门）出，依次参观圜丘、皇穹宇、丹陛桥、祈年殿和皇乾殿后离开。",NULL,116.413,39.8858
6,6427,"圆明园","http://www.mafengwo.cn/poi/6427.html?fromMdd=10065","北京市海淀区清华西路28号","推荐理由清代皇家宫苑，曾经的万园之园，如今残垣断壁，诉说着过去难忘的历史","3小时以上","https://p2-q.mafengwo.net/s9/M00/59/B6/wKgBs1bVAcaAa1bKAACROd9Mmuw67.jpeg?imageMogr2%2Fthumbnail%2F%21226x226r%2Fgravity%2FCente","公园/国家公园 遗址遗迹 ","圆明园座落在北京西郊，毗邻颐和园，由圆明、长春、绮春三园组成，是清朝帝王在150余年间创建和经营的一座大型皇家宫苑。
1860年英法联军将主要建筑烧为灰烬，如今游客前来只能在残骸中凭吊，寻找当年辉煌的帝国身影。
绮春园中各处小景点众多，是一个小型水景园的大集合。如今，是圆明园每年一届的荷花节主场地。
长春园以大型水景为主体，大家耳熟能详的“大水法”，即位于此。",NULL,116.306,40.0029
7,3511,"南锣鼓巷","http://www.mafengwo.cn/poi/3511.html?fromMdd=10065","北京市东城区南锣鼓巷","推荐理由最富有老北京风情的胡同街巷，全球游客都爱来此“迷失北京”","3小时以上","https://b4-q.mafengwo.net/s11/M00/5C/96/wKgBEFqilDOAb27JAAxBfrAhcjc17.jpeg?imageMogr2%2Fthumbnail%2F%21226x226r%2Fgravity%2FCent","遗址遗迹 特色街道/街区 ","南锣鼓巷列于25片旧城保护区之中，全长786米，是北京最古老的街区之一。
是我国唯一完整保存着元代胡同院落构造、规模最大、品级最高、资源最丰富的棋盘式传统民居区。
如今这里开起了风格百变的个性店铺，各种精巧时尚的私房小馆，老北京胡同与小资情调结合，成为北京的时尚地标。
如果想安静体会老北京风情，可以到两侧几条胡同里寻觅一番，多座名人故居和历史建筑一定让你不虚所行。",NULL,116.409,39.939
8,21100,"798艺术区","http://www.mafengwo.cn/poi/21100.html?fromMdd=10065","北京市朝阳区酒仙桥路2号","推荐理由LOFT生活方式，北京的艺术集散地","3小时以上","https://p4-q.mafengwo.net/s6/M00/A6/F3/wKgB4lKBwriALSoDAA159SfcCQ430.jpeg?imageMogr2%2Fthumbnail%2F%21226x226r%2Fgravity%2FCente","艺术区/创意园 ","798艺术区位于北京朝阳区酒仙桥街道大山子地区，故又称大山子艺术区，原为原国营798厂等电子工业的老厂区所在地。
798艺术区因其包豪斯式的厂房风格受到众多艺术家的青睐，也就有了闲置厂房与现代艺术的结合，是北京的艺术集散地。
这里形成了集画廊、文化公司、酒吧、店铺于一体的多元文化空间，艺术气息浓厚，常年有各种展览在此举办。",NULL,116.493,39.9833
9,3506,"恭王府","http://www.mafengwo.cn/poi/3506.html?fromMdd=10065","北京市西城区前海西街17号","推荐理由中国现存王府中保存最完整的清代王府，代表着中国的王府文化","3小时以上","https://b4-q.mafengwo.net/s8/M00/23/15/wKgBpVURgNaARIF4ACvJkLu4UnY55.jpeg?imageMogr2%2Fthumbnail%2F%21226x226r%2Fgravity%2FCente","遗址遗迹 名人故居/纪念堂 ","·恭王府是我国保存最为完整的王府建筑群，拥有各式建筑群落30多处，布局讲究，气派非凡。
·原本是和珅的府邸，历经了清王朝由鼎盛至衰亡的历史进程，故有“一座恭王府，半部清代史”的说法。
·整体分为府邸和花园两部分，西洋门、大戏楼和后罩楼是恭王府内的“三绝”，一定不要错过。
·秘云洞也非常值得一看，里面摆放着和珅从宫中偷出的康熙御笔“福”字碑。",NULL,116.387,39.9363
10,3562,"景山公园","http://www.mafengwo.cn/poi/3562.html?fromMdd=10065","北京市西城区景山前街景山公园","推荐理由位于北京中轴线，曾是全城的制高点，可俯瞰故宫全景","1-3小时","https://b2-q.mafengwo.net/s6/M00/F4/B6/wKgB4lMEDz6AACDJAANl4nZ632I74.jpeg?imageMogr2%2Fthumbnail%2F%21226x226r%2Fgravity%2FCente","公园/国家公园 遗址遗迹 ","景山公园位于故宫北面，为元、明、清三朝御苑，是一座环境优美的皇家园林,距今已有八百多年历史。这里是旧北京内城的中心，也是当时最高的地方。景山公园另一处著名的人文景观是崇祯自缢处。 其中万春亭被誉为北京中轴线上的制高点，站在万春亭上可俯瞰故宫全景。",NULL,116.397,39.9258
